timestamp,model,gpu_index,gpu_name,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb,temperature_c,power_w
2026-06-16 18:57:42,gemma4:31b,2,NVIDIA GeForce RTX 4090,0.0,0.0,3557.0,24564.0,23.0,15.45
2026-06-16 18:57:42,gemma4:31b,3,NVIDIA GeForce RTX 4090,10.0,11.0,23759.0,24564.0,27.0,92.44
2026-06-16 18:57:47,gemma4:31b,0,NVIDIA GeForce RTX 4090,0.0,0.0,4047.0,24564.0,23.0,18.35
2026-06-16 18:57:47,gemma4:31b,1,NVIDIA GeForce RTX 4090,0.0,0.0,4041.0,24564.0,23.0,22.6
2026-06-16 18:57:47,gemma4:31b,2,NVIDIA GeForce RTX 4090,0.0,0.0,3557.0,24564.0,23.0,15.41
2026-06-16 18:57:47,gemma4:31b,3,NVIDIA GeForce RTX 4090,8.0,8.0,23759.0,24564.0,26.0,95.72
2026-06-16 18:57:52,gemma4:31b,0,NVIDIA GeForce RTX 4090,0.0,0.0,4047.0,24564.0,23.0,18.26
2026-06-16 18:57:52,gemma4:31b,1,NVIDIA GeForce RTX 4090,0.0,0.0,4041.0,24564.0,23.0,22.06
2026-06-16 18:57:52,gemma4:31b,2,NVIDIA GeForce RTX 4090,0.0,0.0,3557.0,24564.0,23.0,15.57
2026-06-16 18:57:52,gemma4:31b,3,NVIDIA GeForce RTX 4090,8.0,8.0,23759.0,24564.0,25.0,95.55
2026-06-16 18:57:57,gemma4:31b,0,NVIDIA GeForce RTX 4090,0.0,0.0,4047.0,24564.0,23.0,18.55
2026-06-16 18:57:57,gemma4:31b,1,NVIDIA GeForce RTX 4090,0.0,0.0,4041.0,24564.0,23.0,22.48
2026-06-16 18:57:57,gemma4:31b,2,NVIDIA GeForce RTX 4090,0.0,0.0,3557.0,24564.0,23.0,15.5
2026-06-16 18:57:57,gemma4:31b,3,NVIDIA GeForce RTX 4090,8.0,8.0,23759.0,24564.0,26.0,95.85
2026-06-16 18:58:02,gemma4:31b,0,NVIDIA GeForce RTX 4090,0.0,0.0,4047.0,24564.0,23.0,18.27
2026-06-16 18:58:02,gemma4:31b,1,NVIDIA GeForce RTX 4090,0.0,0.0,4041.0,24564.0,23.0,22.23
2026-06-16 18:58:02,gemma4:31b,2,NVIDIA GeForce RTX 4090,0.0,0.0,3557.0,24564.0,23.0,15.48
2026-06-16 18:58:02,gemma4:31b,3,NVIDIA GeForce RTX 4090,8.0,8.0,23759.0,24564.0,26.0,94.83
2026-06-16 18:58:07,gemma4:31b,0,NVIDIA GeForce RTX 4090,0.0,0.0,4047.0,24564.0,23.0,18.46
2026-06-16 18:58:07,gemma4:31b,1,NVIDIA GeForce RTX 4090,0.0,0.0,4041.0,24564.0,23.0,22.5
2026-06-16 18:58:07,gemma4:31b,2,NVIDIA GeForce RTX 4090,0.0,0.0,3557.0,24564.0,23.0,15.7
2026-06-16 18:58:07,gemma4:31b,3,NVIDIA GeForce RTX 4090,8.0,8.0,23759.0,24564.0,26.0,95.43
2026-06-16 18:58:12,gemma4:31b,0,NVIDIA GeForce RTX 4090,0.0,0.0,4047.0,24564.0,23.0,18.21
